股票代码,股票简称,最新价,最新涨跌幅,牛叉诊股综合评分,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分,market_code,code
600497.SH,驰宏锌锗,5.0,0.0,6.1,6.6,5.4,5.8,4.7,6.9,17,600497
600498.SH,烽火通信,14.96,-2.477,6.1,7.4,5.5,5.5,3.5,6.3,17,600498
600507.SH,方大特钢,4.48,-1.104,6.1,7.1,4.9,5.5,4.2,6.8,17,600507
600511.SH,国药股份,31.94,2.372,6.1,8.6,5.4,5.0,4.6,5.0,17,600511
600572.SH,康恩贝,4.88,1.245,6.1,6.7,4.1,6.2,4.7,7.6,17,600572
600600.SH,青岛啤酒,76.14,-0.601,6.1,7.6,4.6,5.5,5.0,6.4,17,600600
600871.SH,石化油服,1.8,-1.099,6.1,5.4,7.5,5.5,4.7,6.6,17,600871
600918.SH,中泰证券,6.74,1.353,6.1,5.5,5.9,7.7,1.6,8.0,17,600918
601186.SH,中国铁建,8.47,-0.47,6.1,8.5,3.8,5.5,4.5,5.9,17,601186
601233.SH,桐昆股份,12.93,1.174,6.1,4.9,6.2,8.8,4.5,6.5,17,601233
601360.SH,三六零,7.78,0.0,6.1,6.2,7.2,7.2,1.0,6.4,17,601360
601607.SH,上海医药,17.8,0.907,6.1,8.2,5.3,5.3,4.6,5.3,17,601607
601702.SH,华峰铝业,15.88,-1.305,6.1,7.5,6.2,6.9,1.2,5.9,17,601702
603083.SH,剑桥科技,44.94,-3.105,6.1,8.7,5.5,5.5,1.1,5.9,17,603083
603156.SH,养元饮品,25.1,1.169,6.1,7.8,7.0,5.5,1.4,5.7,17,603156
603160.SH,汇顶科技,58.04,0.781,6.1,6.5,6.3,6.8,1.2,7.0,17,603160
603558.SH,健盛集团,9.88,-2.852,6.1,7.4,6.4,6.0,1.0,6.5,17,603558
603806.SH,福斯特,23.62,-2.154,6.1,6.9,7.7,5.5,1.0,6.2,17,603806
603920.SH,世运电路,14.42,-2.171,6.1,6.0,7.1,5.5,1.2,7.7,17,603920
603983.SH,丸美股份,30.22,0.733,6.1,7.8,4.2,7.7,1.0,6.8,17,603983
605305.SH,中际联合,34.47,-1.514,6.1,8.2,5.4,5.5,1.0,6.4,17,605305
